"parameter","Est","SE","lower","upper","p","simulation"
"psi - (Intercept)",-0.290129357469748,0.300145654936462,-0.878404031261399,0.298145316321904,0.333729759890753,1
"psi - x",0.847740737112564,0.344033550388797,0.173447368877077,1.52203410534805,0.0137349244087399,1
"psi - theta",1.94620002030455,0.673292715899048,0.626570546089258,3.26582949451984,0.0038454334537181,1
"rho - (Intercept)",-1.02618516320355,0.143961998526725,-1.30834549545834,-0.74402483094876,1.01714345563201e-12,1
"rho - x",0.487696635415436,0.198326716283483,0.0989834143277164,0.876409856503156,0.013930262514235,1
"psi - (Intercept)",1.95278066814934,1.3865765304238,-0.764859393289814,4.6704207295885,0.159028393652524,2
"psi - x",1.73626437566181,0.917720809890836,-0.0624353595871554,3.53496411091078,0.0585001855132808,2
"psi - theta",0.815160948315605,1.11719846559023,-1.37450780782467,3.00482970445587,0.465605744829877,2
"rho - (Intercept)",-1.34412444559781,0.164751259993196,-1.66703098159207,-1.02121790960356,3.39188718157006e-16,2
"rho - x",0.512185531888519,0.179562620722057,0.160249262303662,0.864121801473377,0.00433896164419267,2
"psi - (Intercept)",0.702903541757879,0.484526385111076,-0.246750722619214,1.65255780613497,0.146862774477158,3
"psi - x",0.764725128742904,0.403414906577331,-0.0259535589752548,1.55540381646106,0.0580090761947361,3
"psi - theta",2.5334918637004,1.55373503631262,-0.511772848990353,5.57875657639116,0.102978620379849,3
"rho - (Intercept)",-1.14026946012616,0.138566885553186,-1.41185556526029,-0.868683354992032,1.88753681180132e-16,3
"rho - x",0.559223380413041,0.138684118409083,0.28740750310355,0.831039257722532,5.52210557912036e-05,3
"psi - (Intercept)",0.707167024713211,0.491184083432601,-0.255536088594003,1.66987013802043,0.149946934498777,4
"psi - x",0.729363292120094,0.342747882431993,0.0575897867760199,1.40113679746417,0.033338099991128,4
"psi - theta",0.96618067053809,0.750369494540522,-0.504516513858857,2.43687785493504,0.197882960701812,4
