"parameter","Est","SE","lower","upper","p","simulation"
"psi - (Intercept)",0.772555682703911,0.359928513805413,0.0671087586362743,1.47800260677155,0.0318399452646355,1
"psi - x",0.528817504252384,0.247963102256086,0.042818754335633,1.01481625416913,0.0329537813938039,1
"psi - theta",0.418052696127421,0.577565216483167,-0.713954326902666,1.55005971915751,0.469176843251089,1
"rho - (Intercept)",-0.941499509737626,0.113603386946709,-1.16415805667494,-0.71884096280031,1.15555751360164e-16,1
"rho - x",0.505259767484029,0.10665980923501,0.296210382785497,0.714309152182562,2.16782310339765e-06,1
"psi - (Intercept)",0.215070257499225,0.223887177651103,-0.223740547297257,0.653881062295707,0.336743814959328,2
"psi - x",0.539603897989463,0.162786982277482,0.220547275573637,0.858660520405288,0.000917135324025194,2
"psi - theta",1.279928746042,0.395812962737476,0.504149594462454,2.05570789762155,0.00122210315442301,2
"rho - (Intercept)",-0.658850537793191,0.093963725597747,-0.84301605581798,-0.474685019768403,2.35348588741345e-12,2
"rho - x",0.360298222959773,0.0813856774628046,0.200785226275283,0.519811219644263,9.55319024086459e-06,2
"psi - (Intercept)",0.369336632758214,0.310784600722776,-0.239789991608088,0.978463257124515,0.234675586217211,3
"psi - x",0.150006276872358,0.229798445309877,-0.300390399638298,0.600402953383014,0.513902474447351,3
"psi - theta",1.68791956773368,0.562140201775096,0.586145017992411,2.78969411747494,0.00267625508283305,3
"rho - (Intercept)",-1.09103188876949,0.10439433485566,-1.2956410252766,-0.886422752262383,1.44890287552944e-25,3
"rho - x",0.588668167148721,0.0942603013948247,0.403921371242974,0.773414963054468,4.23438261387969e-10,3
"psi - (Intercept)",0.437509294825098,0.280375009992179,-0.112015626924631,0.987034216574827,0.118655168418409,4
"psi - x",0.350322455015092,0.242253176869969,-0.124485046790458,0.825129956820643,0.148148998372414,4
"psi - theta",0.66075265484483,0.411433238506881,-0.145641674671336,1.46714698436099,0.10827878371777,4
"rho - (Intercept)",-0.889749742811688,0.106328569945294,-1.09814991043211,-0.681349575191264,5.86405543350914e-17,4
"rho - x",0.559377779804636,0.11985131711803,0.324473514753608,0.794282044855664,3.05236510521113e-06,4
"psi - (Intercept)",0.36927309887223,0.28968756180215,-0.198504089029205,0.937050286773664,0.202405223948112,5
"psi - x",0.15517850712708,0.178633774818967,-0.194937257940534,0.505294272194693,0.385013241573454,5
"psi - theta",1.12424720788294,0.518541760746316,0.107924032340173,2.1405703834257,0.0301515458834053,5
"rho - (Intercept)",-0.878869523430416,0.102340516136141,-1.07945324921649,-0.678285797644338,8.87285406473695e-18,5
