"parameter","Est","SE","lower","upper","p","simulation"
"psi - (Intercept)",1.20856905831608,0.763686666540329,-0.288229303576413,2.70536742020858,0.113525045845393,1
"psi - x",-0.396218901724191,0.376327807007219,-1.13380784983928,0.341370046390898,0.292407101626893,1
"psi - theta",-1.38086138256852,0.770881082921402,-2.8917605414577,0.130037776320666,0.0732488906856976,1
"rho - (Intercept)",-1.23737453187315,0.168483531905324,-1.56759618639569,-0.907152877350612,2.07013829517432e-13,1
"rho - x",0.681464656548114,0.154214743421907,0.379209313556091,0.983719999540138,9.91892765003877e-06,1
"psi - (Intercept)",1.32014155159897,0.810301942053424,-0.268021071428605,2.90830417462654,0.103271306575674,2
"psi - x",-0.416489518845066,0.424273727416962,-1.24805074416888,0.415071706478744,0.326270895336182,2
"psi - theta",-1.83273553209931,0.753442137448592,-3.30945498593343,-0.356016078265194,0.014995676680755,2
"rho - (Intercept)",-1.20906506560447,0.175880055388833,-1.5537836397655,-0.864346491443452,6.2263194140692e-12,2
"rho - x",0.628581716714249,0.159978225195312,0.315030157020799,0.9421332764077,8.52394020063847e-05,2
"psi - (Intercept)",2.70237186138734,1.24635058961029,0.259569593640923,5.14517412913376,0.0301413669115834,3
"psi - x",-0.756712645490191,0.650277038035688,-2.03123222001352,0.51780692903314,0.244554801064764,3
"psi - theta",-3.26670467819507,0.969337629730962,-5.16657152132718,-1.36683783506296,0.000751578097408668,3
"rho - (Intercept)",-1.32431240971494,0.154372793507581,-1.62687752518263,-1.02174729424724,9.59809450126064e-18,3
"rho - x",0.823057059572817,0.161217732296531,0.507076110602396,1.13903800854324,3.30354961613794e-07,3
"psi - (Intercept)",6.34377035047409,2.37655356750493,1.68581095083424,11.0017297501139,0.00760061058755612,4
"psi - x",-2.69342630864796,1.16448739619085,-4.97577966563285,-0.41107295166307,0.0207241990963048,4
"psi - theta",-5.24647072018285,1.84366163220144,-8.85998111897601,-1.63296032138969,0.00443167284511936,4
"rho - (Intercept)",-1.34415815409904,0.117840441898625,-1.57512117614263,-1.11319513205545,3.87608492226189e-30,4
"rho - x",1.00447613953598,0.135205079778253,0.739479052643738,1.26947322642822,1.09191950470478e-13,4
"psi - (Intercept)",1.01402923011457,0.560914629280663,-0.0853432416771609,2.11340170190631,0.0706354789348626,5
"psi - x",-0.0595210592659642,0.383198147580845,-0.810575627466884,0.691533508934956,0.876563447486994,5
"psi - theta",-2.02349239373265,0.446846021573566,-2.89929450265185,-1.14769028481345,5.94352246195947e-06,5
"rho - (Intercept)",-1.1302742766037,0.18549068541953,-1.49382933949363,-0.766719213713778,1.10517532397316e-09,5
"rho - x",0.588958845395369,0.172958385116834,0.249966639742165,0.927951051048573,0.000661142797297999,5
"psi - (Intercept)",2.23386265600301,1.11590279632593,0.0467333649566468,4.42099194704936,0.045301575814436,6
"psi - x",-0.698638479474735,0.543040416721804,-1.76297813839909,0.365701179449623,0.198257711295039,6
"psi - theta",-2.70241377454548,0.934778651243377,-4.53454626449942,-0.870281284591529,0.0038405904566694,6
"rho - (Intercept)",-1.0269701316073,0.151425930252774,-1.32375950122822,-0.730180761986392,1.18526332413636e-11,6
"rho - x",0.687418952701165,0.142028953238611,0.409047319591565,0.965790585810765,1.29844561172359e-06,6
"psi - (Intercept)",4.47165261424298,1.86527167519861,0.815787309471018,8.12751791901494,0.0165155048029959,7
