"parameter","Est","SE","lower","upper","p","simulation"
"psi - (Intercept)",0.835410040663142,0.336153360965438,0.17656155988879,1.49425852143749,0.0129476820395033,1
"psi - x",-0.179483405905072,0.206357946382125,-0.583937548737684,0.224970736927539,0.384427553128415,1
"psi - theta",-1.52282777517802,0.371600579229548,-2.25115152710216,-0.794504023253884,4.16693619902978e-05,1
"rho - (Intercept)",-0.946137234206093,0.115372754127904,-1.17226367709398,-0.720010791318206,2.38993173098501e-16,1
"rho - x",0.467861197501618,0.104419471425135,0.263202794223644,0.672519600779593,7.44357868586379e-06,1
"psi - (Intercept)",1.86008909575286,0.522653011978298,0.835708015864017,2.88447017564171,0.000372358955749291,2
"psi - x",-0.645343333530278,0.257102203788499,-1.14925439330161,-0.141432273758943,0.0120708820184939,2
"psi - theta",-2.02598206656967,0.478135167473715,-2.96310977456018,-1.08885435857916,2.2626607861834e-05,2
"rho - (Intercept)",-0.950920330293492,0.0995880574174668,-1.14610933612203,-0.75573132446495,1.31539658471194e-21,2
"rho - x",0.593765653557578,0.0884565781386906,0.420393946210092,0.767137360905065,1.91304863165789e-11,2
"psi - (Intercept)",0.642781473404931,0.359732898001414,-0.0622820507320613,1.34784499754192,0.0739649963042376,3
"psi - x",0.0694514021328471,0.221879307004868,-0.365424048511399,0.504326852777094,0.754269776744009,3
"psi - theta",-1.40441010945192,0.372750301555272,-2.1349872757267,-0.673832943177146,0.00016476065811679,3
"rho - (Intercept)",-0.924486850723741,0.133685409550509,-1.18650543870123,-0.662468262746256,4.66575347095942e-12,3
"rho - x",0.444468159994873,0.119424267336914,0.210400897134439,0.678535422855307,0.000197840993131484,3
"psi - (Intercept)",0.994237573508573,0.402836142503059,0.204693242531532,1.78378190448561,0.0135834543267486,4
"psi - x",0.129581634722501,0.247231050432802,-0.354982319985797,0.614145589430799,0.600186930402215,4
"psi - theta",-1.17138832835056,0.378620988116614,-1.91347182885009,-0.429304827851031,0.00197591802845224,4
"rho - (Intercept)",-1.01989289094655,0.1258700868552,-1.26659372791367,-0.773192053979427,5.3733931976335e-16,4
"rho - x",0.623004957741681,0.121248695012015,0.385361882345649,0.860648033137712,2.77322787924875e-07,4
"psi - (Intercept)",1.03364274737642,0.485158996133667,0.0827485881788238,1.98453690657401,0.0331283999610596,5
"psi - x",-0.352116053856103,0.226632463801879,-0.796307520635363,0.0920754129231566,0.120258946938527,5
"psi - theta",-0.851693152092078,0.473273817062339,-1.77929278836006,0.0759064841759036,0.0719272964929416,5
"rho - (Intercept)",-0.987798510000804,0.122597472899416,-1.22808514147928,-0.747511878522324,7.80298492219401e-16,5
"rho - x",0.595634512668638,0.090474635518324,0.418307485538334,0.772961539798941,4.59680053082464e-11,5
"psi - (Intercept)",0.589156365071495,0.323043582302875,-0.0439974216789403,1.22231015182193,0.0681872392364341,6
"psi - x",-0.0306071812492069,0.188824158856887,-0.400695732019776,0.339481369521362,0.871232172811982,6
"psi - theta",-0.890034766525907,0.347394630938847,-1.57091573158863,-0.209153801463182,0.0104062932798594,6
"rho - (Intercept)",-0.991774791770885,0.126413234480211,-1.23954017852131,-0.744009405020455,4.31238351694774e-15,6
"rho - x",0.456029131506676,0.106162633767157,0.247954192819133,0.664104070194219,1.74244252665727e-05,6
"psi - (Intercept)",0.702634853900601,0.342780472933337,0.0307974723476543,1.37447223545355,0.040382971779304,7
"psi - x",0.113172335340479,0.268564951044019,-0.413205296215561,0.639549966896519,0.673465561056722,7
"psi - theta",-1.23712349324072,0.365302934140732,-1.95310408760336,-0.521142898878075,0.000707725468746216,7
"rho - (Intercept)",-0.907466398847513,0.125728040360891,-1.15388882980166,-0.661043967893368,5.28769144285036e-13,7
"rho - x",0.504780444292677,0.1364366579822,0.237369508476556,0.772191380108797,0.000215818693301129,7
"psi - (Intercept)",1.53125401632058,0.653775546716575,0.249877490783114,2.81263054185805,0.0191719372772721,8
"psi - x",-0.254963950437117,0.291974526328994,-0.827223506445086,0.317295605570853,0.382532061799959,8
"psi - theta",-2.13931119676664,0.523099116724796,-3.16456662589196,-1.11405576764133,4.3195733642458e-05,8
"rho - (Intercept)",-0.975174788051751,0.134565511503331,-1.23891834415949,-0.711431231944012,4.26606088132395e-13,8
"rho - x",0.513845791968711,0.106666468503897,0.304783355342997,0.722908228594425,1.45504166051645e-06,8
"psi - (Intercept)",1.09889486538715,0.743360186704021,-0.358064328093696,2.555854058868,0.139332715957305,9
"psi - x",-0.246100440615414,0.51635519857933,-1.25813803306093,0.765937151830101,0.633639324073338,9
"psi - theta",-1.50790601794905,0.672559175790118,-2.82609777996962,-0.189714255928475,0.0249586485153704,9
"rho - (Intercept)",-1.15731514246289,0.158558052847257,-1.46808321550231,-0.846547069423464,2.89915478993373e-13,9
"rho - x",0.73088870768945,0.17218435483123,0.393413573518975,1.06836384185993,2.18785311827387e-05,9
"psi - (Intercept)",1.36352396662769,0.435113856857737,0.510716478012211,2.21633145524317,0.00172606865086906,10
"psi - x",-0.246408696263069,0.260991268802381,-0.757942183395147,0.265124790869009,0.345105159447985,10
"psi - theta",-1.67384753875598,0.422387716722589,-2.50171225104436,-0.845982826467598,7.40688580044972e-05,10
"rho - (Intercept)",-1.071267544449,0.10918749735948,-1.28527110683565,-0.857263982062359,1.0069750787631e-22,10
"rho - x",0.428403910250299,0.110711591839796,0.211413177573199,0.645394642927398,0.000109036944021838,10
"psi - (Intercept)",1.41858698584179,0.728721742753623,-0.00968138470657043,2.84685535639015,0.0515732847355886,11
"psi - x",-0.225593830370425,0.292157727380714,-0.798212453841697,0.347024793100847,0.440016994457987,11
"psi - theta",-1.71436177424567,0.60663471692723,-2.90334397119469,-0.525379577296645,0.00471303378641358,11
"rho - (Intercept)",-1.04552798528361,0.142051935355215,-1.32394466251405,-0.767111308053179,1.83660740186901e-13,11
"rho - x",0.520927798960291,0.099601747311183,0.325711961433113,0.716143636487469,1.69411927450895e-07,11
"psi - (Intercept)",1.15574838543641,0.477605172364868,0.219659448771224,2.0918373221016,0.0155255240513097,12
"psi - x",-0.19686146225285,0.215001396055019,-0.618256455146519,0.224533530640819,0.359861640114881,12
"psi - theta",-1.45180317038461,0.43812680952581,-2.31051593771664,-0.593090403052588,0.000920834906036646,12
"rho - (Intercept)",-0.953458014201522,0.124109316985863,-1.19670780563968,-0.710208222763366,1.56129546321837e-14,12
"rho - x",0.652888078561379,0.0962380107347561,0.464265043577478,0.84151111354528,1.16814165821102e-11,12
"psi - (Intercept)",5.72668035395295,1.91369773751361,1.97590171113049,9.47745899677541,0.00276731149733588,13
"psi - x",-1.68750598235734,0.663184220245687,-2.98732316915417,-0.387688795560517,0.0109418373921006,13
"psi - theta",-5.66149533724176,1.70592575246038,-9.0050483723635,-2.31794230212002,0.000904300268671227,13
"rho - (Intercept)",-1.44562271255111,0.0942213205024176,-1.63029310731166,-1.26095231779057,3.95501798460468e-53,13
"rho - x",0.632316559667288,0.0954052154755387,0.445325773397949,0.819307345936627,3.40971717356844e-11,13
"psi - (Intercept)",1.32434441205813,0.532159062527245,0.281331815458135,2.36735700865813,0.0128238104180981,14
"psi - x",-0.121498786950499,0.263498469648748,-0.637946297443465,0.394948723542466,0.644727834835987,14
