"parameter","Est","SE","lower","upper","p","simulation"
"psi - (Intercept)",0.644980256473872,0.385427003938983,-0.110442789915712,1.40040330286346,0.0942451539735074,1
"psi - x",0.854767147217728,0.234297187420419,0.395553098194675,1.31398119624078,0.000264065838364067,1
"psi - theta",-0.0231951158252973,0.507709159398289,-1.01828678286705,0.971896551216455,0.96356065571589,1
"rho - (Intercept)",-0.974587144259874,0.12418658261918,-1.21798837355657,-0.731185914963174,4.23516088876008e-15,1
"rho - x",0.488857217964822,0.111549001361153,0.270225192785552,0.707489243144093,1.17355499740608e-05,1
"psi - (Intercept)",1.00012350819261,0.386920710962413,0.241772849833648,1.75847416655157,0.00974275713196067,2
"psi - x",1.17840724162625,0.269409765787337,0.650373803599696,1.7064406796528,1.21971854897696e-05,2
"psi - theta",-0.33584174697584,0.478529741081653,-1.27374280502716,0.602059311075476,0.482791419134394,2
"rho - (Intercept)",-0.782649439889418,0.109350515966088,-0.996972512873822,-0.568326366905014,8.23089874666074e-13,2
"rho - x",0.399760295281936,0.0945995982040725,0.214348489849994,0.585172100713878,2.38078711495819e-05,2
"psi - (Intercept)",0.451357662707894,0.298296086758451,-0.133291924067905,1.03600724948369,0.13024927567673,3
"psi - x",1.02098921815805,0.212877682004071,0.603756628317696,1.4382218079984,1.61759635833888e-06,3
"psi - theta",-0.100051753038463,0.411490314933146,-0.906557950294474,0.706454444217548,0.807893184195498,3
"rho - (Intercept)",-0.794448408892777,0.127989282029574,-1.04530279207788,-0.543594025707672,5.3954801038926e-10,3
"rho - x",0.480428914516544,0.127270319322693,0.230983672343153,0.729874156689934,0.000160091107557731,3
"psi - (Intercept)",0.54153764238753,0.31717000433965,-0.0801041430945966,1.16317942786966,0.0877468068660194,4
"psi - x",1.05815858123466,0.27636552000327,0.516492115459565,1.59982504700975,0.000128750141609415,4
"psi - theta",-0.0998504208578117,0.407146527595706,-0.897842951375939,0.698142109660315,0.806267171117239,4
