"parameter","Est","SE","lower","upper","p","simulation"
"psi - (Intercept)",0.809793052315069,0.424846066357751,-0.0228899367196375,1.64247604134977,0.0566390753193427,1
"psi - x",0.212637188633249,0.222304975769063,-0.223072557458163,0.648346934724661,0.33881405249449,1
"psi - theta",-0.290954739508804,0.4584625327238,-1.18952479190847,0.607615312890859,0.525668814891958,1
"rho - (Intercept)",-0.953966043833869,0.121861286596772,-1.19280977667326,-0.715122310994481,4.94532314578042e-15,1
"rho - x",0.57528063864076,0.117617914707463,0.344753761877428,0.805807515404092,1.00275490723431e-06,1
"psi - (Intercept)",0.476292505200372,0.247931690772537,-0.00964467933992208,0.962229689740666,0.0547237108396699,2
"psi - x",0.605688644532292,0.177312094918193,0.258163324469286,0.953213964595298,0.000635607141156901,2
"psi - theta",0.00999668048753769,0.340570760929481,-0.657509745121646,0.677503106096721,0.976583275123768,2
"rho - (Intercept)",-0.679720155050766,0.104150762996832,-0.883851899486924,-0.475588410614609,6.74097789951857e-11,2
"rho - x",0.339615292981234,0.0983022485300655,0.146946426263,0.532284159699468,0.000550686941071998,2
"psi - (Intercept)",0.943254392536887,0.383049262740908,0.192491633260088,1.69401715181369,0.0137976609521756,3
"psi - x",0.237012450093816,0.242088382942046,-0.237472061548134,0.711496961735767,0.327563808516809,3
"psi - theta",-0.631491960232293,0.442613030002877,-1.49899755812608,0.236013637661491,0.153655994184925,3
"rho - (Intercept)",-0.992887885189073,0.120121382862056,-1.22832146937185,-0.757454301006296,1.38871865523248e-16,3
"rho - x",0.518833783595435,0.117769553846511,0.288009699580922,0.749657867609948,1.05540093739291e-05,3
"psi - (Intercept)",1.36964232775203,0.629782594629634,0.135291124187761,2.6039935313163,0.0296461617054179,4
"psi - x",-0.250033836961743,0.342785755462128,-0.921881572080867,0.421813898157381,0.465746480035312,4
"psi - theta",-0.451031864114076,0.556947301199045,-1.54262851575099,0.640564787522833,0.418038681378856,4
"rho - (Intercept)",-1.21460019524515,0.124039598880511,-1.45771334170775,-0.971487048782551,1.21818029211334e-22,4
"rho - x",0.717415596779601,0.123292263138026,0.475767201456635,0.959063992102566,5.92641952410638e-09,4
"psi - (Intercept)",0.864852466129147,0.384292167948627,0.111653657409021,1.61805127484927,0.0244167380562823,5
"psi - x",0.0878774339221559,0.189550805572299,-0.283635318240104,0.459390186084416,0.642928001473742,5
"psi - theta",-0.29069301328561,0.437362352363439,-1.14790747211167,0.566521445540447,0.506274197019051,5
"rho - (Intercept)",-0.953881089969936,0.117920277811169,-1.18500058752678,-0.722761592413087,6.00563017239357e-16,5
"rho - x",0.657213781753552,0.0929447315056332,0.475045455449766,0.839382108057338,1.53802231847642e-12,5
"psi - (Intercept)",0.840442328825192,0.407458541433941,0.0418382624214463,1.63904639522894,0.039146367676708,6
"psi - x",0.119288793529566,0.231467599746638,-0.334379365561777,0.57295695262091,0.60630253107965,6
"psi - theta",-0.344681177978554,0.412882117231674,-1.15391525761328,0.46455290165617,0.403820524176157,6
"rho - (Intercept)",-0.988209771024088,0.123265206701363,-1.22980513670564,-0.746614405342531,1.08412010295257e-15,6
"rho - x",0.561015836300554,0.11693807350804,0.331821423803297,0.79021024879781,1.60620990407964e-06,6
"psi - (Intercept)",0.808827899130622,0.333121637116496,0.155921487911269,1.46173431034998,0.0151812670872861,7
"psi - x",0.206052245698988,0.236065981367351,-0.256628575756125,0.6687330671541,0.382740099517288,7
"psi - theta",-0.247189382741184,0.420447521920649,-1.07125138309477,0.576872617612402,0.556586189937803,7
"rho - (Intercept)",-0.986895217823757,0.115064043131384,-1.21241659827683,-0.761373837370681,9.7446425135023e-18,7
"rho - x",0.473996114524383,0.114475509554713,0.249628238685275,0.698363990363491,3.46414126499011e-05,7
"psi - (Intercept)",1.4227505742527,0.536593043083482,0.371047535454324,2.47445361305107,0.00801465585161525,8
"psi - x",0.525836575974256,0.250095611012845,0.0356581856975408,1.01601496625097,0.0355058071228363,8
"psi - theta",-0.651402634062016,0.575494447822883,-1.77935102509763,0.4765457569736,0.257676136352695,8
"rho - (Intercept)",-1.02508889523302,0.115455110601069,-1.25137675384221,-0.798801036623839,6.76588959355644e-19,8
"rho - x",0.469717406706885,0.092679572866742,0.288068781785515,0.651366031628255,4.01622731005889e-07,8
