"fireID","fire.name","S.fire.size","fire.season"
"ALBA","Albanita",-0.562089589163403,1
"AMER","American",1.06642095197548,0
"ANCO","Antelope Complex",0.956470602362622,0
"ANGO","Angora",-0.363410780592413,0
"ASPE","Aspen",0.953522078305986,0
"AZUS","Azusa",-1.24418475225551,0
"BALD","Bald",1.31352262851402,0
"BAPO","Barry Point",1.87232505866287,0
"BARR","Bar",-1.08384167761518,0
"BASS","Bassetts",-0.485371265991295,1
"BEAR","Bear",-1.14454457758715,0
"BELD","Belden",-1.51854121320067,0
"BELL","Bell",-0.380504101566475,0
"BEWE","Bell West",-0.549636381866763,0
"BIRC","Birch",-0.460513705239016,0
"BLUE","Blue",1.21575994499953,0
"BOCO","Boulder Complex",-0.274654103816889,0
"BRBE","Broder Beck",-0.284198665931662,0
"BROW","Brown",-0.723274088500742,0
"BUCK","Bucks",1.21433893328957,1
"CABI","Cabin",0.165030071576157,0
"CAMP","Camp",2.2017875328556,1
"CEDA","Cedar",1.10223049365647,1
"CHIP","Chips",1.74345701231863,0
"CLAR","Clark",-0.444195569461848,0
"CLOV","Clover",0.662853189976918,0
"COLD","Cold",0.0307986470209132,0
"COMB","Comb",0.420377645516125,0
"CONE","Cone",-0.64146408226324,1
"COON","Cooney",-0.648020809330568,0
"CORR","Corral",0.525602685418239,0
"COUG","Cougar",-0.725261436879231,0
"COVE","Cove",1.14739754214891,0
"CR04","Crag 04",-1.20379121423389,0
"CR05","Crag 05",-0.859576067497376,0
"CRAT","Crater",0.0203681700978128,0
"CUB_","Cub",0.671656697520586,0
"DEEP","Deep",-0.357306883690034,0
"DEGA","Devils Gap",-0.842727531657268,1
"DEXT","Dexter",-0.519024190157863,1
"DONN","Donnell",1.25477760127363,0
"DORO","Dome Rock",-1.15466698563271,1
"EILE","Eiler",1.19395072064126,0
"ELPO","El Portal",-0.0861732488830556,0
"FALL","Fall",-0.523705908031978,0
"FERG","Ferguson",1.89711745904027,0
"FISH","Fish",-0.613374884177593,1
"FLET","Fletcher",0.267207824166767,0
"FOX_","Fox",-0.462545400265686,0
"FRED","Freds",0.235497478857994,1
"FREN","French",0.619116967027203,0
"FREY","Frey",0.534948091729459,0
"FROG","Frog",-0.0671539018867482,0
"GAP_","Gap",-0.511716970243832,0
"GEOR","George",-0.738448784214061,0
"GOND","Gondola",-1.37922317529588,0
"GOVE","Government",0.881394285766145,0
"GRAN","Granite",-0.864469777731523,0
"GREA","Grease",-1.73527874882161,0
"HARD","Harding",-0.564646042186676,1
"HIGH","High",-1.06775895072079,0
"HIGY","Highway",-0.174789220028938,0
"HOOK","Hooker",-0.530731762495609,1
"HOR2","Horton 2",-0.193108907498138,1
"INCO","Inyo Complex",1.09682522438063,0
"JACO","Jacoboson",-0.792135340546551,1
"KIBB","Kibbie",0.15007936752234,0
"KING","King",1.90371390820963,1
"KNIG","Knight",0.0876357357812002,0
"LI17","Lion 17",0.814547989553436,1
"LIO2","Lion 11",0.889761905964114,0
"LION","Lion",-0.485537578322947,0
"LOOK","Lookout",-0.476015139180239,1
"MANT","Manter",1.76679838305317,0
"MCLA","Mclaughlin",-0.451394562772641,0
"MCNA","McNally",2.19869705485565,0
"MEAD","Meadow",-0.159581434226317,1
"MINE","Minerva 5",-0.160527213516843,0
"MOON","Moonlight",1.63738023722226,1
"MOTO","Motor",-0.0257314454113982,1
"MOUN","Mountain",-0.164158680137763,0
"MUD_","Mud",-0.143296847275289,1
"NOFO","North Fork",-0.171537248506881,1
"OLIV","Oliver",-0.432807307653057,0
"ONIO","Onion 2",-0.00929404448454721,0
"OWRI","Owens River",0.0105063125599435,1
"PARK","Parker 2",0.239169906933213,0
"PEAK","Peak",-1.26561439301191,0
"PEAV","Peavine",-1.39720016937923,0
"PECO","Peterson Complex",0.258610641620192,0
"PI08","Piute 08",1.2687404223721,0
"PIDG","Pidgen",-0.0948764821884908,1
"PIER","Pier",1.25552077120125,1
"PIT8","Pit",1.49088130395051,0
"PLUM","Plum",-0.709604436460525,1
"POW3","Power 13",-1.05755676946006,0
"POWE","Power",0.749860917856097,1
"RAIL","Railroad",0.53407748726018,1
"RAMS","Ramsey",-0.99189408268471,0
"READ","Reading",1.08114424258473,0
"RICH","Rich",0.115600633100399,0
"ROUG","Rough",2.17195669525742,0
"SAW6","Sawmill 06",0.209746101458497,1
"SAWM","Sawmill 00",-1.81526705172145,0
"SCOT","Scotch",1.02662280134922,0
"SHEE","Sheep",0.339364722670549,0
"SHER","Sherwin",-1.80828801232169,0
"SHOT","Shotgun",-1.13575712536569,0
"SHOW","Showers",-1.91244271352845,1
"SILV","Silver",-1.83708339114228,1
"SODA","Soda",-0.867522136556337,0
"SOUP","Soup 2",-0.523031508040815,1
"STAR","Star",0.748821082505763,1
"STEE","Steele",1.44695254537775,0
"STON","Stone",1.30157167738917,0
"STOR","Storrie",1.54147430749746,1
"STRA","Straylor",-0.318537198371935,0
"STRE","Stream",-0.262072337616996,0
"SULO","Sugar Loaf",0.361677487847741,0
"SUMM","Summit",0.0663892584356891,1
"TAMA","Tamarack",-0.100835887679551,0
"TEHI","Tehipite",0.53508785674256,0
"TRAI","Trailhead",0.0231548643261741,0
"TREA","Treasure",-1.73272367891367,1
"VIST","Vista",-1.67084965138277,1
"WALK","Walker",-0.240891117792729,0
"WHAL","Whaleback",0.804890062314834,0
"WHIE","White",-2.01622697186391,1
"WHIT","Whit",-1.08097490974205,1
