"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",NA,NA,NA,NA,NA,6,7,8,9,10
"2",NA,NA,NA,NA,NA,6,7,8,9,10
"3",NA,NA,NA,NA,NA,6,7,8,9,10
"4",NA,NA,NA,NA,NA,6,7,8,9,10
"5",NA,NA,NA,NA,NA,6,7,8,9,10
"6",NA,NA,NA,NA,NA,6,7,8,9,10
"7",NA,NA,NA,NA,NA,6,7,8,9,10
"8",NA,NA,NA,NA,NA,6,7,8,9,10
"9",NA,NA,NA,NA,NA,6,7,8,9,10
"10",NA,NA,NA,NA,NA,6,7,8,9,10
"11",NA,NA,NA,NA,NA,6,7,8,9,10
"12",NA,NA,NA,NA,NA,6,7,8,9,10
"13",NA,NA,NA,NA,NA,6,7,8,9,10
"14",NA,NA,NA,NA,NA,6,7,8,9,10
"15",NA,NA,NA,NA,NA,6,7,8,9,10
"16",NA,NA,NA,NA,NA,6,7,8,9,10
"17",NA,NA,NA,NA,NA,6,7,8,9,10
"18",NA,NA,NA,NA,NA,6,7,8,9,10
"19",NA,NA,NA,NA,NA,6,7,8,9,10
"20",NA,NA,NA,NA,NA,6,7,8,9,10
"21",NA,NA,NA,NA,NA,6,7,8,9,10
"22",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",NA,NA,NA,NA,NA,6,NA,NA,NA,NA
"26",1,NA,NA,4,NA,6,NA,NA,NA,NA
"27",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",1,NA,NA,4,NA,6,NA,NA,NA,NA
"32",1,NA,NA,4,NA,6,NA,NA,NA,NA
"33",1,NA,NA,4,NA,6,NA,NA,NA,NA
"34",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",1,NA,NA,4,NA,6,NA,NA,NA,NA
"36",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",1,NA,NA,4,NA,6,NA,NA,NA,NA
"38",1,NA,NA,4,NA,6,NA,NA,NA,NA
"39",1,NA,NA,4,NA,6,NA,NA,NA,NA
"40",1,NA,NA,4,NA,6,NA,NA,NA,NA
"41",1,NA,NA,4,NA,6,NA,NA,NA,NA
"42",NA,2,3,4,5,6,7,8,9,10
"43",NA,2,3,4,5,6,7,8,9,10
"44",NA,2,3,4,5,6,7,8,9,10
"45",NA,2,3,4,5,6,7,8,9,10
"46",NA,2,3,4,5,6,7,8,9,10
"47",NA,2,3,4,5,6,7,8,9,10
"48",NA,2,3,4,5,6,7,8,9,10
"49",NA,2,3,4,5,6,7,8,9,10
"50",NA,2,3,4,5,6,7,8,9,10
"51",NA,2,3,4,5,6,7,8,9,10
"52",NA,2,3,4,5,6,7,8,9,10
"53",NA,2,3,4,5,6,7,8,9,10
"54",NA,2,3,4,5,6,7,8,9,10
"55",NA,2,3,4,5,6,7,8,9,10
"56",NA,2,3,4,5,6,7,8,9,10
"57",NA,2,3,4,5,6,7,8,9,10
"58",NA,2,3,4,5,6,7,8,9,10
"59",NA,2,3,4,5,6,7,8,9,10
"60",NA,2,3,4,5,6,7,8,9,10
"61",NA,2,3,4,5,6,7,8,9,10
"62",NA,2,3,4,5,6,7,NA,9,10
"63",NA,2,3,4,5,6,7,8,9,10
"64",NA,2,3,4,5,6,7,8,9,10
"65",NA,2,3,4,5,6,7,8,9,10
"66",NA,2,3,4,5,6,7,8,9,10
"67",NA,2,3,4,5,NA,7,8,9,10
"68",NA,2,3,4,5,6,7,8,9,10
"69",NA,2,3,4,5,NA,NA,NA,NA,NA
"70",NA,2,NA,4,5,NA,NA,NA,NA,NA
"71",NA,2,NA,4,5,NA,NA,NA,NA,10
"72",NA,2,NA,4,5,6,7,8,9,10
"73",NA,2,3,4,NA,NA,NA,NA,NA,10
"74",NA,2,3,4,NA,NA,NA,NA,NA,10
"75",NA,2,3,4,NA,NA,NA,NA,NA,10
"76",NA,2,3,4,5,6,7,8,9,10
"77",NA,2,3,4,NA,NA,NA,NA,9,10
"78",NA,2,NA,4,NA,NA,NA,NA,9,10
"79",NA,2,NA,4,NA,NA,NA,NA,9,10
"80",NA,2,NA,4,NA,NA,NA,NA,9,10
"81",NA,2,NA,4,NA,NA,NA,NA,9,10
"82",1,2,3,4,5,6,NA,NA,NA,NA
"83",1,2,NA,4,5,6,NA,NA,NA,NA
"84",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",1,NA,NA,NA,NA,6,NA,NA,NA,NA
"86",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",1,2,3,4,5,6,NA,NA,NA,NA
"88",NA,NA,3,4,5,6,NA,NA,NA,NA
"89",1,2,3,4,5,6,NA,NA,NA,NA
"90",1,2,3,4,5,6,NA,NA,NA,NA
"91",1,2,3,4,5,6,NA,NA,NA,NA
"92",1,2,3,NA,NA,NA,NA,NA,NA,NA
"93",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
