"fireID","fire.name","fire.size","fire.season"
"ALBA","Albanita",957.9599609,1
"AMER","American",11195.91016,0
"ANCO","Antelope Complex",9483.570313,0
"ANGO","Angora",1293.029907,0
"ASPE","Aspen",9441.450195,0
"AZUS","Azusa",342.0900269,0
"BALD","Bald",16258.0498,0
"BAPO","Barry Point",37795.5,0
"BARR","Bar",435.7799988,0
"BASS","Bassetts",1075.589966,1
"BEAR","Bear",397.6199951,0
"BELD","Belden",226.0799866,0
"BELL","Bell",1260.089966,0
"BEWE","Bell West",976.1400757,0
"BIRC","Birch",1116.719971,0
"BLUE","Blue",14027.21973,0
"BOCO","Boulder Complex",1478.429932,0
"BRBE","Broder Beck",1457.279907,0
"BROW","Brown",751.0499268,0
"BUCK","Bucks",13997.16016,1
"CABI","Cabin",2871.27002,0
"CAMP","Camp",62150.97416,1
"CEDA","Cedar",11817.82274,1
"CHIP","Chips",31113.53906,0
"CLAR","Clark",1144.571847,0
"CLOV","Clover",6087.870117,0
"COLD","Cold",2344.590088,0
"COMB","Comb",4221.719727,0
"CONE","Cone",849.7799683,1
"COON","Cooney",841.4099731,0
"CORR","Corral",4948.560059,0
"COUG","Cougar",748.7999878,0
"COVE","Cove",12651.75192,0
"CR04","Crag 04",363.6000366,0
"CR05","Crag 05",611.3700562,0
"CRAT","Crater",2307.960205,0
"CUB_","Cub",6169.319824,0
"DEEP","Deep",1305,0
"DEGA","Devils Gap",627.1200562,1
"DEXT","Dexter",1022.310059,1
"DONN","Donnell",14878.29022,0
"DORO","Dome Rock",391.5899963,1
"EILE","Eiler",13572.90039,0
"ELPO","El Portal",1965.059937,0
"FALL","Fall",1015.110046,0
"FERG","Ferguson",39236.92048,0
"FISH","Fish",886.5899658,1
"FLET","Fletcher",3350.160156,0
"FOX_","Fox",1113.300049,0
"FRED","Freds",3193.560059,1
"FREN","French",5698.890137,0
"FREY","Frey",5018.871094,0
"FROG","Frog",2022.300049,0
"GAP_","Gap",1033.650024,0
"GEOR","George",734.039978,0
"GOND","Gondola",279,0
"GOVE","Government",8467.379883,0
"GRAN","Granite",606.8699951,0
"GREA","Grease",162.9899902,0
"HARD","Harding",954.2699585,1
"HIGH","High",446.4899902,0
"HIGY","Highway",1719,0
"HOOK","Hooker",1004.400024,1
"HOR2","Horton 2",1672.109863,1
"INCO","Inyo Complex",11721.78027,0
"JACO","Jacoboson",676.8942291,1
"KIBB","Kibbie",2807.189941,0
"KING","King",39629.60938,1
"KNIG","Knight",2554.650146,0
"LI17","Lion 17",7654.593422,1
"LIO2","Lion 11",8575.020508,0
"LION","Lion",1075.319946,0
"LOOK","Lookout",1090.890015,1
"MANT","Manter",32229.44922,0
"MCLA","Mclaughlin",1132.199951,0
"MCNA","McNally",61861.67969,0
"MEAD","Meadow",1758.922346,1
"MINE","Minerva 5",1756.412739,0
"MOON","Moonlight",26509.5,1
"MOTO","Motor",2152.800049,1
"MOUN","Mountain",1746.809937,0
"MUD_","Mud",1802.699951,1
"NOFO","North Fork",1727.459961,1
"OLIV","Oliver",1164.419922,0
"ONIO","Onion 2",2206.889893,0
"OWRI","Owens River",2273.853685,1
"PARK","Parker 2",3211.314708,0
"PEAK","Peak",331.2000122,0
"PEAV","Peavine",271.5299988,0
"PECO","Peterson Complex",3306.959961,0
"PI08","Piute 08",15195.24023,0
"PIDG","Pidgen",1939.410034,1
"PIER","Pier",14894.99205,1
"PIT8","Pit",21249.63086,0
"PLUM","Plum",766.710022,1
"POW3","Power 13",453.4199829,0
"POWE","Power",6942.419922,1
"RAIL","Railroad",5012.279039,1
"RAMS","Ramsey",500.6699829,0
"READ","Reading",11447.5498,0
"RICH","Rich",2664.810059,0
"ROUG","Rough",59414.12891,0
"SAW6","Sawmill 06",3071.790039,1
"SAWM","Sawmill 00",144.4500275,0
"SCOT","Scotch",10543.0498,0
"SHEE","Sheep",3735.719971,0
"SHER","Sherwin",145.9799957,0
"SHOT","Shotgun",402.9299927,0
"SHOW","Showers",124.739975,1
"SILV","Silver",139.7700195,1
"SODA","Soda",604.0799561,0
"SOUP","Soup 2",1016.144071,1
"STAR","Star",6931.530273,1
"STEE","Steele",19886.12033,0
"STON","Stone",15967.35429,0
"STOR","Storrie",22936.23047,1
"STRA","Straylor",1383.659912,0
"STRE","Stream",1506.779907,0
"SULO","Sugar Loaf",3863.699951,0
"SUMM","Summit",2474.01001,1
"TAMA","Tamarack",1922.040039,0
"TEHI","Tehipite",5019.930176,0
"TRAI","Trailhead",2317.690158,0
"TREA","Treasure",163.6199036,1
"VIST","Vista",179.6399994,1
"WALK","Walker",1555.73999,0
"WHAL","Whaleback",7543.797669,0
"WHIE","White",106.6499939,1
"WHIT","Whit",437.6700745,1
