"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
NA,NA,NA,NA,NA,151,155,152,162,160
NA,NA,NA,NA,NA,151,155,152,162,160
NA,NA,NA,NA,NA,151,155,152,162,160
NA,NA,NA,NA,NA,151,155,152,162,160
NA,NA,NA,NA,NA,151,155,152,162,160
NA,NA,NA,NA,NA,151,155,152,162,160
NA,NA,NA,NA,NA,151,155,152,153,160
NA,NA,NA,NA,NA,151,155,152,162,160
NA,NA,NA,NA,NA,151,155,152,162,160
NA,NA,NA,NA,NA,151,155,152,162,160
NA,NA,NA,NA,NA,151,155,152,162,160
NA,NA,NA,NA,NA,151,155,152,162,160
NA,NA,NA,NA,NA,151,155,152,162,160
NA,NA,NA,NA,NA,151,155,152,162,160
NA,NA,NA,NA,NA,151,155,152,162,160
NA,NA,NA,NA,NA,151,155,152,162,160
NA,NA,NA,NA,NA,151,155,152,162,160
NA,NA,NA,NA,NA,151,155,152,162,160
NA,NA,NA,NA,NA,151,155,152,162,160
NA,NA,NA,NA,NA,151,155,152,162,160
NA,NA,NA,NA,NA,151,155,152,162,160
174,NA,NA,NA,NA,NA,NA,NA,NA,NA
174,NA,NA,NA,NA,NA,NA,NA,NA,NA
174,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,161,NA,NA,NA,NA
174,NA,NA,178,NA,161,NA,NA,NA,NA
174,NA,NA,NA,NA,NA,NA,NA,NA,NA
174,NA,NA,NA,NA,NA,NA,NA,NA,NA
174,NA,NA,NA,NA,NA,NA,NA,NA,NA
174,NA,NA,NA,NA,NA,NA,NA,NA,NA
174,NA,NA,178,NA,161,NA,NA,NA,NA
174,NA,NA,178,NA,161,NA,NA,NA,NA
174,NA,NA,178,NA,161,NA,NA,NA,NA
173,NA,NA,NA,NA,NA,NA,NA,NA,NA
173,NA,NA,178,NA,161,NA,NA,NA,NA
173,NA,NA,NA,NA,NA,NA,NA,NA,NA
173,NA,NA,178,NA,161,NA,NA,NA,NA
173,NA,NA,178,NA,161,NA,NA,NA,NA
173,NA,NA,178,NA,161,NA,NA,NA,NA
173,NA,NA,178,NA,161,NA,NA,NA,NA
173,NA,NA,178,NA,161,NA,NA,NA,NA
NA,181,163,144,183,134,170,148,133,185
NA,181,163,144,183,134,170,148,133,185
NA,181,163,144,183,134,170,148,133,185
NA,181,163,144,183,134,170,148,133,185
NA,181,163,144,183,134,170,148,133,185
NA,181,163,144,183,134,170,148,133,185
NA,181,163,144,183,134,170,148,133,185
NA,181,163,144,183,134,170,148,133,185
NA,181,163,144,183,134,170,148,133,185
NA,181,163,144,183,134,170,148,133,185
NA,181,163,144,183,134,170,148,133,185
NA,181,163,144,183,134,170,148,133,185
NA,181,163,144,183,134,170,148,133,185
NA,181,163,144,183,134,170,148,133,185
NA,181,163,144,183,134,170,148,133,185
NA,181,163,144,183,134,170,148,133,185
NA,181,163,144,183,134,170,148,133,185
NA,181,163,144,183,134,170,148,133,185
NA,181,163,144,183,134,170,148,133,185
NA,181,163,144,183,134,170,148,133,185
NA,181,163,144,183,134,170,NA,133,185
NA,154,129,171,181,181,147,170,185,179
NA,179,129,171,181,181,147,170,185,179
NA,179,129,171,181,181,147,170,185,179
NA,179,129,171,181,181,147,170,185,179
NA,179,129,171,181,NA,147,170,185,179
NA,179,129,171,181,181,147,170,185,179
NA,179,129,171,181,NA,NA,NA,NA,NA
NA,179,NA,171,181,NA,NA,NA,NA,NA
NA,179,NA,171,181,NA,NA,NA,NA,179
NA,179,NA,171,181,181,147,170,185,179
NA,179,130,171,NA,NA,NA,NA,NA,179
NA,179,130,171,NA,NA,NA,NA,NA,179
NA,179,130,171,NA,NA,NA,NA,NA,179
NA,179,130,171,181,181,147,170,185,179
NA,179,130,171,NA,NA,NA,NA,185,179
NA,179,NA,171,NA,NA,NA,NA,185,179
NA,179,NA,171,NA,NA,NA,NA,185,179
NA,179,NA,171,NA,NA,NA,NA,185,179
NA,179,NA,171,NA,NA,NA,NA,185,179
153,179,139,181,181,188,NA,NA,NA,NA
153,179,NA,181,181,188,NA,NA,NA,NA
153,NA,NA,NA,NA,NA,NA,NA,NA,NA
153,NA,NA,NA,NA,188,NA,NA,NA,NA
153,NA,NA,NA,NA,NA,NA,NA,NA,NA
153,179,139,181,181,188,NA,NA,NA,NA
NA,NA,139,181,181,188,NA,NA,NA,NA
153,179,139,181,181,188,NA,NA,NA,NA
153,179,139,181,181,188,NA,NA,NA,NA
153,179,139,181,181,188,NA,NA,NA,NA
153,179,139,NA,NA,NA,NA,NA,NA,NA
153,NA,NA,NA,NA,NA,NA,NA,NA,NA
153,179,NA,NA,NA,NA,NA,NA,NA,NA
153,179,139,181,181,188,NA,NA,NA,NA
153,179,139,181,181,188,NA,NA,NA,NA
153,179,139,181,181,188,NA,NA,NA,NA
153,179,139,181,181,188,NA,NA,NA,NA
153,179,NA,NA,NA,NA,NA,NA,NA,NA
153,NA,139,NA,181,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,168,NA
NA,NA,NA,NA,NA,NA,NA,NA,168,NA
NA,NA,NA,NA,NA,NA,NA,NA,168,NA
NA,NA,NA,NA,NA,NA,NA,NA,168,NA
NA,NA,NA,NA,NA,NA,NA,NA,168,NA
NA,NA,NA,NA,NA,NA,NA,NA,168,NA
NA,NA,NA,NA,NA,NA,NA,NA,168,NA
NA,NA,NA,NA,NA,NA,NA,NA,168,NA
139,158,189,137,140,NA,NA,NA,NA,NA
139,158,189,137,140,NA,NA,NA,NA,NA
139,158,189,137,140,NA,NA,NA,NA,NA
139,158,189,137,140,NA,NA,NA,NA,NA
139,158,189,137,140,NA,NA,NA,NA,NA
139,158,189,137,140,NA,NA,NA,NA,NA
139,158,189,137,140,NA,NA,NA,NA,NA
139,158,189,137,140,NA,NA,NA,NA,NA
139,158,189,137,140,NA,NA,NA,NA,NA
