"elev","lat","bs30","bs100","d.patch","pyro500","precc100","fir100","whr","site.code","fireID"
2404.852,36.104075743,44,45.81,60,3.75,27.8,6.24714285714286,"SMC","ALBA.RG01","ALBA"
2397.307,36.106073191,19,18.91,0,4.07,43.30555556,9.31777777777778,"LPN","ALBA.RG02","ALBA"
2403.685,36.108193866,4,11.94,0,3.35,35.28571429,3.50942857142857,"LPN","ALBA.RG03","ALBA"
2418.206,36.110476438,39,18.08,30,3.03,48.375,13.73625,"LPN","ALBA.RG04","ALBA"
2429.881,36.112527363,7,8.83,0,2.37,51.65714286,14.8062857142857,"LPN","ALBA.RG05","ALBA"
2459.902,36.114759074,0,3.17,0,2.77,57.28571429,7.49571428571429,"SMC","ALBA.RG06","ALBA"
2475.869,36.116897176,15,8.38,0,2.71,52.94285714,11.3205714285714,"LPN","ALBA.RG07","ALBA"
2515.767,36.119241308,18,11.28,0,3.21,56.53125,11.9775,"SMC","ALBA.RG08","ALBA"
2544.386,36.12155798,1,14.44,0,2.94,60.91891892,18.7732432432432,"SMC","ALBA.RG09","ALBA"
2577.865,36.123704853,17,26.12,0,2.24,50.66666667,8.12944444444445,"LPN","ALBA.RG10","ALBA"
2585.007,36.125975879,1,4.86,0,1.88,55.45945946,7.37486486486486,"LPN","ALBA.RG11","ALBA"
2397.155,36.101643364,0,7.7,0,3.39,39.6875,6.508125,"LPN","ALBA.RM01","ALBA"
2442.112,36.10261766,98,62.86,67.08,7.4,34.75675676,5.29702702702703,"SMC","ALBA.RM02","ALBA"
2463.652,36.101376246,59,51.86,108.17,5.66,43.75,6.18324324324324,"SMC","ALBA.RM03","ALBA"
2461.371,36.100186119,19,23.71,0,5.19,36.71875,9.8425,"SMC","ALBA.RM04","ALBA"
2448.045,36.099060523,21,13,0,3.93,33.34285714,9.28742857142857,"SMC","ALBA.RM05","ALBA"
2475.825,36.098408114,67,56.34,60,2.83,31.27027027,2.47351351351351,"NFR","ALBA.RM06","ALBA"
2495.068,36.101087767,50,50.29,84.85,4.66,43.36111111,3.35027777777778,"NFR","ALBA.RM07","ALBA"
2520.445,36.102908155,62,45.81,90,6.84,37.55555556,4.20777777777778,"NFR","ALBA.RM08","ALBA"
2500.544,36.104837468,5,39,0,8.3,46.51428571,8.55342857142857,"NFR","ALBA.RM09","ALBA"
2527.725,36.103071036,98,81.89,127.28,9.16,36.05714286,4.81542857142857,"SMC","ALBA.RM10","ALBA"
1380.413,39.1052296586,0,27.33,0,3.76,78.25714286,12.8082857142857,"SMC","AMER.KH01","AMER"
1366.062,39.1075702554,18.19,3.64,0,2.25,69.8125,26.639375,"SMC","AMER.KH02","AMER"
1373.132,39.1094796967,100,54.9,60,2.97,78.84375,4.8090625,"OTH","AMER.KH03","AMER"
1393.975,39.1111503794,3.95,3.23,0,2.78,76.14285714,1.46171428571429,"SMC","AMER.KH04","AMER"
1393.634,39.1124357449,0,11.05,0,1.9,75.2,7.04114285714286,"SMC","AMER.KH05","AMER"
